product_name,source_store,target_store,suggested_qty,final_recommendation,estimated_cost,reason,cost_score,quantity_score,strategy_score,reason_bonus,heuristic_score,heuristic_grade,_estimated_cost_numeric,_suggested_qty_numeric,greedy_rank,is_greedy_selected,greedy_reason,avg_daily_sales,unit_cost,stock_qty,expiry_days,category,disposal_cost_per_unit,dead_stock_qty,sales_30d,sales_7d,disposal_cost,abc_revenue_value,abc_grade,abc_cumulative_pct,abc_priority,abc_score,turnover_days,turnover_rate_annual,turnover_grade,turnover_score,turnover_risk_flag,disposal_risk_score,disposal_risk_grade,disposal_risk_reason,safety_stock,reorder_point,reorder_risk_score,reorder_status,reorder_advice,safety_stock_score,eoq_qty,eoq_order_cycle,eoq_total_cost,eoq_risk_score,eoq_status,eoq_advice,eoq_score,demand_forecast_7d,demand_forecast_daily,demand_forecast_upper,demand_forecast_lower,demand_trend,demand_stockout_days,demand_risk_score,demand_forecast_method,demand_forecast_score,match_score,match_score_demand,match_score_urgency,match_score_abc,match_score_cluster,match_score_dist,match_grade,match_reason,trend_rate,trend_score,trend_direction,aging_score,aging_grade,relocation_failure_score,relocation_failure_grade,substitute_conflict_score,category_balance_score,store_capacity_score,expected_sales_increase_rate,discount_sensitivity_score,disposal_avoidance_profit,disposal_avoidance_score,newsvendor_critical_ratio,newsvendor_optimal_sl,newsvendor_score,is_fresh_product,topsis_score,topsis_rank,priority_queue_score,priority_queue_rank,service_level_score,service_level_current,service_level_gap,queue_capacity_score,transport_lp_score,assignment_action,assignment_score,multiobjective_rank,multiobjective_score,lp_allocation_score,sensitivity_score,dominant_factor,varo_score,varo_grade,varo_rank,varo_weight_breakdown,vhs2_scenario_labels,vhs2_weights,sit2_EXPIRY_URGENT,sit2_COLD_EXCESS,sit2_DEMAND_SURGE,sit2_HIGH_TRANSPORT,sit2_REORDER_RISK,sit2_STRESS,vhs2_group_재고위험,vhs2_group_판매가능성,vhs2_group_점포이동적합,vhs2_group_비용절감,vhs2_group_폐기회피이익,vhs2_group_실행가능성,mcdm_score,vhs2_raw,vhs2_history_correction,vhs2,vhs2_grade,vhs2_action,vhs2_action_icon,vhs2_rank,vhs2_confidence,vhs2_confidence_label,vhs2_confidence_color,vhs2_ci_lower,vhs2_ci_upper,vhs,vhs_grade,vhs_action,source_cluster,target_cluster,is_same_cluster,is_optimal_route,network_unit_cost,network_cost_score,direct_cost,via_cost,estimated_cost_transfer,direct_distance_km,via_distance_km,recommended_distance_km,recommended_time_min,sales_30d_transfer,source_dead_stock_qty,target_shortage_qty,greedy_action,dqn_recommended_action,dqn_expected_q,dqn_match_greedy,Q_재고 이동,Q_할인,Q_폐기,Q_보류
도시락074,합정점,신촌점,0.0,다중 경로 추천,1970.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,40.0,10.0,18,12,80.0,우선 추천,1970.0,,1,True,휴리스틱 점수가 가장 높아 Greedy 알고리즘에 의해 최적 후보로 선택됨,7.04,3140,304,0,신선식품,250,295,211.0,49.0,250,662540.0,A,0.4700351316340167,1,100.0,43.2,8.33,NORMAL,76.0,False,56.6,MEDIUM,유통기한 임박 | 신선/냉장 고위험 카테고리,6.0,27.1,0.0,SAFE,"재고 여유 — 현재고(304), 재주문점(27)",0.0,152.9,21.7,168047.0,94.9,OVER,과잉 발주 위험 — 현재(298개) > EOQ(153개). 발주 주기 22일 권장,94.9,49.1,7.01,9.92,4.11,STABLE,43.3,2.2,WMA,2.2,36.2,10.0,3.71,10.0,7.5,5.0,POOR,낮은 매칭 · 핵심(A)상품,0.994,49.9,STABLE,8.5,LOW,78.3,HIGH,23.2,28.1,86.3,0.3,30.0,118570.0,100.0,0.385,0.385,88.5,True,27.4,93,31.2,233,100.0,0.999,4.9,75.7,50.0,REALLOCATE,100.0,2,99.8,76.0,22.1,disposal_risk,80.7,우선 처리,1,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (84%)', '❄️ 냉장·냉동 과잉 (78%)', '💸 배송비 상승 (91%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '25.1%', '판매가능성': '13.2%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.2%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,64.1,33.8,55.1,73.2,72.0,66.9,60.0,59.8,0.0,97.1,최적,보류,⏸️,6,HIGH,신뢰도 높음 ●,#2e7d32,,,97.1,최적,보류,-1,0,False,False,,50.0,4371.0,15510.0,4371.0,3.19,13.9,3.19,6.0,885.0,295.0,795.0,재고 이동,재고 이동,95.561,일치,95.561,59.026,27.708,23.608
컵밥007,교대점,선릉점,0.0,다중 경로 추천,2990.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,38.835051252034376,10.0,18,12,78.8,우선 추천,2990.0,,2,False,Greedy 선택 후보보다 우선순위가 낮음,7.55,3334,282,2,간편식,300,261,226.0,53.0,300,753484.0,A,0.23037995959756308,1,100.0,37.4,9.62,NORMAL,79.2,False,46.7,MEDIUM,유통기한 임박,6.5,29.2,0.0,SAFE,"재고 여유 — 현재고(282), 재주문점(29)",0.0,193.8,25.7,142172.0,42.2,OPTIMAL,"적정 발주 — EOQ(194개), 권장 발주 주기 26일",42.2,52.9,7.56,10.67,4.44,STABLE,37.3,3.0,WMA,3.0,36.2,10.0,3.75,10.0,7.5,5.0,POOR,낮은 매칭 · 핵심(A)상품,1.003,50.1,STABLE,7.3,LOW,73.1,HIGH,30.8,48.8,83.3,0.3,30.0,126034.0,100.0,0.385,0.385,88.5,False,33.0,61,27.0,324,100.0,0.999,4.9,74.8,50.0,REALLOCATE,99.9,2,99.8,75.8,22.2,turnover,74.9,우선 처리,5,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (84%)', '❄️ 냉장·냉동 과잉 (78%)', '💸 배송비 상승 (91%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '25.1%', '판매가능성': '13.2%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.2%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,60.5,34.2,54.2,64.7,72.0,71.8,63.1,57.9,0.0,86.8,최적,보류,⏸️,61,HIGH,신뢰도 높음 ●,#2e7d32,,,86.8,최적,보류,-1,-1,False,False,,50.0,6216.0,20118.0,6216.0,5.24,19.02,5.24,10.0,561.0,261.0,453.0,재고 이동,재고 이동,83.655,일치,83.655,50.728,26.822,29.996
커피040,교대점,선릉점,0.0,다중 경로 추천,2990.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,38.835051252034376,10.0,18,12,78.8,우선 추천,2990.0,,3,False,Greedy 선택 후보보다 우선순위가 낮음,2.18,3554,259,0,음료,400,256,65.0,15.0,400,231010.0,A,0.2885581921080359,1,100.0,119.5,3.01,DEAD,33.6,True,70.0,HIGH,유통기한 임박 | 소진일수 120일 초과,1.9,8.4,0.0,SAFE,"재고 여유 — 현재고(259), 재주문점(8)",0.0,111.5,51.1,71346.0,100.0,OVER,과잉 발주 위험 — 현재(257개) > EOQ(112개). 발주 주기 51일 권장,100.0,15.1,2.16,3.06,1.26,STABLE,120.1,0.0,WMA,0.0,40.9,10.0,8.4,10.0,7.5,5.0,FAIR,보통 매칭 · 폐기위험 높음 · 핵심(A)상품,0.983,49.6,STABLE,23.5,LOW,78.3,HIGH,23.0,48.8,83.3,0.3,30.0,136954.0,100.0,0.385,0.385,88.5,False,19.5,334,41.0,65,100.0,0.999,4.9,74.8,50.0,REALLOCATE,99.7,2,99.8,75.8,22.6,disposal_risk,75.8,우선 처리,4,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (84%)', '❄️ 냉장·냉동 과잉 (78%)', '💸 배송비 상승 (91%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '25.1%', '판매가능성': '13.2%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.2%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,58.9,32.6,59.1,73.3,72.0,71.8,55.6,59.5,0.0,96.3,최적,할인 판매,🏷️,10,HIGH,신뢰도 높음 ●,#2e7d32,,,96.3,최적,할인 판매,-1,-1,False,False,,50.0,6216.0,20118.0,6216.0,5.24,19.02,5.24,10.0,583.0,256.0,443.0,재고 이동,재고 이동,88.283,일치,88.283,59.307,32.032,26.447
죽003,역삼점,방배점,0.0,다중 경로 추천,3240.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,38.54952459812124,10.0,18,12,78.5,우선 추천,3240.0,,4,False,Greedy 선택 후보보다 우선순위가 낮음,5.01,1867,312,4,간편식,150,284,150.0,35.0,150,280050.0,A,0.7812158286916832,1,100.0,62.4,5.77,SLOW,65.3,True,51.2,MEDIUM,유통기한 임박,4.3,19.3,0.0,SAFE,"재고 여유 — 현재고(312), 재주문점(19)",0.0,211.0,42.1,86666.0,45.8,OPTIMAL,"적정 발주 — EOQ(211개), 권장 발주 주기 42일",45.8,35.0,5.0,7.07,2.93,STABLE,62.4,0.0,WMA,0.0,36.1,10.0,3.6,10.0,7.5,5.0,POOR,낮은 매칭 · 핵심(A)상품,0.998,50.0,STABLE,12.2,LOW,66.1,MEDIUM,37.9,49.9,60.8,0.3,30.0,68472.0,100.0,0.385,0.385,88.5,False,13.6,473,29.7,262,100.0,0.999,4.9,65.5,50.0,REALLOCATE,99.6,2,99.8,75.7,23.9,disposal_risk,71.4,우선 처리,15,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (84%)', '❄️ 냉장·냉동 과잉 (78%)', '💸 배송비 상승 (91%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '25.1%', '판매가능성': '13.2%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.2%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,58.8,32.7,53.7,65.0,72.0,57.2,52.4,55.4,0.0,63.3,검토,보류,⏸️,187,HIGH,신뢰도 높음 ●,#2e7d32,,,63.3,검토,보류,-1,-1,False,False,,50.0,7242.0,22836.0,7242.0,6.38,22.04,6.38,13.0,862.0,284.0,747.0,재고 이동,재고 이동,87.743,일치,87.743,54.007,26.695,24.599
에너지드링크012,상암점,신촌점,0.0,다중 경로 추천,3550.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,38.19547154726894,10.0,18,12,78.2,우선 추천,3550.0,,5,False,Greedy 선택 후보보다 우선순위가 낮음,6.12,1966,305,0,음료,150,297,184.0,43.0,150,361744.0,A,0.6967554031566018,1,100.0,49.7,7.24,NORMAL,72.4,False,49.9,MEDIUM,유통기한 임박,5.2,23.6,0.0,SAFE,"재고 여유 — 현재고(305), 재주문점(24)",0.0,251.2,41.0,88910.0,19.3,OPTIMAL,"적정 발주 — EOQ(251개), 권장 발주 주기 41일",19.3,42.9,6.13,8.65,3.6,STABLE,49.8,1.4,WMA,1.4,36.2,10.0,3.67,10.0,7.5,5.0,POOR,낮은 매칭 · 핵심(A)상품,1.004,50.1,STABLE,9.7,LOW,78.3,HIGH,43.2,28.1,86.3,0.3,30.0,71726.0,100.0,0.385,0.385,88.5,False,19.8,324,28.7,279,100.0,0.999,4.9,75.7,50.0,REALLOCATE,99.5,2,99.8,75.6,23.3,turnover,71.2,우선 처리,17,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (84%)', '❄️ 냉장·냉동 과잉 (78%)', '💸 배송비 상승 (91%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '25.1%', '판매가능성': '13.2%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.2%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,60.1,33.4,54.6,60.9,72.0,66.9,55.8,56.4,0.0,75.4,권장,보류,⏸️,122,HIGH,신뢰도 높음 ●,#2e7d32,,,75.4,권장,보류,-1,0,False,False,,50.0,7260.0,17157.0,7260.0,6.4,15.73,6.4,13.0,130.0,297.0,41.0,재고 이동,재고 이동,76.714,일치,76.714,46.976,28.096,34.727
죽010,명동점,신촌점,0.0,다중 경로 추천,3800.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,37.9099448933558,10.0,18,12,77.9,우선 추천,3800.0,,6,False,Greedy 선택 후보보다 우선순위가 낮음,8.48,3304,281,1,간편식,500,270,254.0,59.0,500,839216.0,A,0.04394056460257161,1,100.0,33.2,10.85,NORMAL,81.6,False,44.6,MEDIUM,유통기한 임박,7.3,32.7,0.0,SAFE,"재고 여유 — 현재고(281), 재주문점(33)",0.0,206.4,24.3,149995.0,32.6,OPTIMAL,"적정 발주 — EOQ(206개), 권장 발주 주기 24일",32.6,59.1,8.44,11.94,4.94,STABLE,33.3,3.6,WMA,3.6,36.3,10.0,3.78,10.0,7.5,5.0,POOR,낮은 매칭 · 핵심(A)상품,0.994,49.8,STABLE,6.6,LOW,76.6,HIGH,28.0,28.1,86.3,0.3,30.0,130144.0,100.0,0.385,0.385,88.5,False,38.4,42,26.0,375,100.0,0.999,4.9,75.7,50.0,REALLOCATE,99.3,2,99.8,75.6,21.9,turnover,73.9,우선 처리,9,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (84%)', '❄️ 냉장·냉동 과잉 (78%)', '💸 배송비 상승 (91%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '25.1%', '판매가능성': '13.2%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.2%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,60.2,34.4,54.1,62.7,72.0,66.9,66.0,56.8,0.0,78.8,권장,보류,⏸️,104,HIGH,신뢰도 높음 ●,#2e7d32,,,78.8,권장,보류,-1,0,False,False,,50.0,7350.0,24825.0,7350.0,6.5,24.25,6.5,13.0,259.0,270.0,249.0,재고 이동,재고 이동,78.812,일치,78.812,47.87,27.799,32.894
샐러드069,사당점,역삼점,0.0,다중 경로 추천,4100.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,37.56731290866002,10.0,18,12,77.6,우선 추천,4100.0,,7,False,Greedy 선택 후보보다 우선순위가 낮음,0.49,3082,272,10,신선식품,250,266,15.0,3.0,250,46230.0,A,0.6610542014354238,1,100.0,544.0,0.66,DEAD,0.0,True,53.7,MEDIUM,소진일수 544일 초과 | 신선/냉장 고위험 카테고리,0.4,1.9,0.0,SAFE,"재고 여유 — 현재고(272), 재주문점(2)",0.0,40.7,83.1,43923.0,100.0,OVER,과잉 발주 위험 — 현재(272개) > EOQ(41개). 발주 주기 83일 권장,100.0,3.2,0.46,0.66,0.26,DECREASING,595.0,0.0,WMA,0.0,36.1,10.0,3.6,10.0,7.5,5.0,POOR,낮은 매칭 · 핵심(A)상품,0.875,46.9,DECLINING,38.1,LOW,45.1,MEDIUM,33.3,67.8,53.7,0.3,30.0,114352.0,100.0,0.385,0.385,88.5,True,14.4,461,37.1,161,100.0,0.999,4.9,60.9,50.0,REALLOCATE,99.2,2,99.8,75.5,18.4,disposal_risk,64.3,검토 필요,68,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (84%)', '❄️ 냉장·냉동 과잉 (78%)', '💸 배송비 상승 (91%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '25.1%', '판매가능성': '13.2%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.2%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,43.0,31.8,54.8,72.7,72.0,58.4,52.8,53.0,0.0,36.9,검토,보류,⏸️,329,HIGH,신뢰도 높음 ●,#2e7d32,,,36.9,검토,보류,-1,-1,False,False,,50.0,8511.0,24096.0,8511.0,7.79,23.44,7.79,16.0,938.0,266.0,889.0,재고 이동,재고 이동,91.381,일치,91.381,59.9,28.437,16.172
차음료039,왕십리점,명동점,0.0,다중 경로 추천,4120.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,37.54447077634697,10.0,18,12,77.5,우선 추천,4120.0,,8,False,Greedy 선택 후보보다 우선순위가 낮음,8.38,1058,345,0,음료,400,334,251.0,59.0,400,265558.0,A,0.7122615727681944,1,100.0,41.2,8.73,NORMAL,77.1,False,45.6,MEDIUM,유통기한 임박,7.2,32.3,0.0,SAFE,"재고 여유 — 현재고(345), 재주문점(32)",0.0,400.8,47.8,76322.0,12.6,OPTIMAL,"적정 발주 — EOQ(401개), 권장 발주 주기 48일",12.6,58.9,8.41,11.87,4.96,STABLE,41.0,2.5,WMA,2.5,36.2,10.0,3.72,10.0,7.5,5.0,POOR,낮은 매칭 · 핵심(A)상품,1.006,50.1,STABLE,8.0,LOW,78.3,HIGH,41.7,32.8,100.0,0.3,30.0,45968.0,91.9,0.385,0.385,88.5,False,28.3,83,26.6,348,100.0,0.999,4.9,79.0,50.0,REALLOCATE,99.1,2,99.8,71.4,22.8,turnover,70.8,우선 처리,19,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (84%)', '❄️ 냉장·냉동 과잉 (78%)', '💸 배송비 상승 (91%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '25.1%', '판매가능성': '13.2%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.2%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,59.4,34.0,54.5,59.5,67.1,77.6,60.5,56.8,0.0,78.1,권장,보류,⏸️,108,HIGH,신뢰도 높음 ●,#2e7d32,,,78.1,권장,보류,0,-1,False,False,,50.0,7287.0,20694.0,7287.0,6.43,19.66,6.43,13.0,706.0,334.0,623.0,재고 이동,재고 이동,83.356,일치,83.356,49.951,24.973,27.184
커피076,명동점,왕십리점,0.0,다중 경로 추천,4120.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,37.54447077634697,10.0,18,12,77.5,우선 추천,4120.0,,9,False,Greedy 선택 후보보다 우선순위가 낮음,5.7,2453,340,6,음료,400,293,171.0,40.0,400,419463.0,A,0.42114451345163617,1,100.0,59.6,6.04,NORMAL,66.9,False,44.8,MEDIUM,유통기한 임박,4.9,22.0,0.0,SAFE,"재고 여유 — 현재고(340), 재주문점(22)",0.0,217.1,38.1,95845.0,54.4,OVER,과잉 발주 위험 — 현재(335개) > EOQ(217개). 발주 주기 38일 권장,54.4,40.0,5.71,8.07,3.36,STABLE,59.5,0.1,WMA,0.1,36.1,10.0,3.6,10.0,7.5,5.0,POOR,낮은 매칭 · 핵심(A)상품,1.003,50.1,STABLE,11.6,LOW,59.1,MEDIUM,45.9,23.6,84.2,0.3,30.0,96188.0,100.0,0.385,0.385,88.5,False,11.7,487,26.9,333,100.0,0.999,4.9,75.1,50.0,REALLOCATE,98.9,2,99.8,75.5,24.0,turnover,70.1,우선 처리,25,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (84%)', '❄️ 냉장·냉동 과잉 (78%)', '💸 배송비 상승 (91%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '25.1%', '판매가능성': '13.2%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.2%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,56.4,32.8,54.1,65.8,72.0,64.0,51.3,55.8,0.0,69.3,권장,보류,⏸️,155,HIGH,신뢰도 높음 ●,#2e7d32,,,69.3,권장,보류,-1,0,False,False,,50.0,7287.0,20694.0,7287.0,6.43,19.66,6.43,13.0,442.0,293.0,308.0,재고 이동,재고 이동,81.039,일치,81.039,49.945,27.479,30.488
죽010,문래점,신촌점,0.0,다중 경로 추천,4280.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,37.36173371784256,10.0,18,12,77.4,우선 추천,4280.0,,10,False,Greedy 선택 후보보다 우선순위가 낮음,4.11,3304,284,1,간편식,500,279,123.0,29.0,500,406392.0,A,0.04394056460257161,1,100.0,69.3,5.2,SLOW,61.5,True,62.6,HIGH,유통기한 임박 | 소진일수 69일 초과,3.5,15.8,0.0,SAFE,"재고 여유 — 현재고(284), 재주문점(16)",0.0,143.7,35.0,104424.0,95.2,OVER,과잉 발주 위험 — 현재(280개) > EOQ(144개). 발주 주기 35일 권장,95.2,28.9,4.13,5.82,2.43,STABLE,68.8,0.0,WMA,0.0,40.9,10.0,8.4,10.0,7.5,5.0,FAIR,보통 매칭 · 폐기위험 높음 · 핵심(A)상품,1.008,50.2,STABLE,13.4,LOW,76.6,HIGH,28.0,28.1,86.3,0.3,30.0,129664.0,100.0,0.385,0.385,88.5,False,17.5,398,35.4,179,100.0,0.999,4.9,75.7,50.0,REALLOCATE,98.8,2,99.8,75.5,24.2,disposal_risk,77.3,우선 처리,2,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (84%)', '❄️ 냉장·냉동 과잉 (78%)', '💸 배송비 상승 (91%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '25.1%', '판매가능성': '13.2%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.2%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,63.0,32.8,58.1,71.9,72.0,66.9,54.5,59.5,0.0,96.1,최적,할인 판매,🏷️,11,HIGH,신뢰도 높음 ●,#2e7d32,,,96.1,최적,할인 판매,-1,0,False,False,,50.0,7692.0,19029.0,7692.0,6.88,17.810000000000002,6.88,14.0,259.0,279.0,249.0,재고 이동,재고 이동,84.204,일치,84.204,54.447,31.335,31.5
