product_name,source_store,target_store,suggested_qty,final_recommendation,estimated_cost,reason,cost_score,quantity_score,strategy_score,reason_bonus,heuristic_score,heuristic_grade,_estimated_cost_numeric,_suggested_qty_numeric,greedy_rank,is_greedy_selected,greedy_reason,avg_daily_sales,unit_cost,stock_qty,expiry_days,category,dead_stock_qty,sales_30d,sales_7d,abc_revenue_value,abc_grade,abc_cumulative_pct,abc_priority,abc_score,turnover_days,turnover_rate_annual,turnover_grade,turnover_score,turnover_risk_flag,disposal_risk_score,disposal_risk_grade,disposal_risk_reason,safety_stock,reorder_point,reorder_risk_score,reorder_status,reorder_advice,safety_stock_score,eoq_qty,eoq_order_cycle,eoq_total_cost,eoq_risk_score,eoq_status,eoq_advice,eoq_score,demand_forecast_7d,demand_forecast_daily,demand_forecast_upper,demand_forecast_lower,demand_trend,demand_stockout_days,demand_risk_score,demand_forecast_method,demand_forecast_score,match_score,match_score_demand,match_score_urgency,match_score_abc,match_score_cluster,match_score_dist,match_grade,match_reason,trend_rate,trend_score,trend_direction,aging_score,aging_grade,relocation_failure_score,relocation_failure_grade,substitute_conflict_score,category_balance_score,store_capacity_score,expected_sales_increase_rate,discount_sensitivity_score,disposal_avoidance_profit,disposal_avoidance_score,newsvendor_critical_ratio,newsvendor_optimal_sl,newsvendor_score,is_fresh_product,topsis_score,topsis_rank,priority_queue_score,priority_queue_rank,service_level_score,service_level_current,service_level_gap,queue_capacity_score,transport_lp_score,assignment_action,assignment_score,multiobjective_rank,multiobjective_score,lp_allocation_score,sensitivity_score,dominant_factor,varo_score,varo_grade,varo_rank,varo_weight_breakdown,vhs2_scenario_labels,vhs2_weights,sit2_EXPIRY_URGENT,sit2_COLD_EXCESS,sit2_DEMAND_SURGE,sit2_HIGH_TRANSPORT,sit2_REORDER_RISK,sit2_STRESS,vhs2_group_재고위험,vhs2_group_판매가능성,vhs2_group_점포이동적합,vhs2_group_비용절감,vhs2_group_폐기회피이익,vhs2_group_실행가능성,mcdm_score,vhs2_raw,vhs2_history_correction,vhs2,vhs2_grade,vhs2_action,vhs2_action_icon,vhs2_rank,vhs2_confidence,vhs2_confidence_label,vhs2_confidence_color,vhs2_ci_lower,vhs2_ci_upper,vhs,vhs_grade,vhs_action,source_cluster,target_cluster,is_same_cluster,is_optimal_route,network_unit_cost,network_cost_score,direct_cost,via_cost,estimated_cost_transfer,direct_distance_km,via_distance_km,recommended_distance_km,recommended_time_min,sales_30d_transfer,source_dead_stock_qty,target_shortage_qty,greedy_action,dqn_recommended_action,dqn_expected_q,dqn_match_greedy,Q_재고 이동,Q_할인,Q_폐기,Q_보류
과일컵041,명동점,용산2점,48.0,프로모션 추천,9075.0,프로모션 순비용이 재배치 비용보다 낮습니다.,29.357870007830854,19.82758620689655,12,8,69.2,검토 가능,9075.0,48.0,1,True,휴리스틱 점수가 가장 높아 Greedy 알고리즘에 의해 최적 후보로 선택됨,2.26,707,251,2,신선식품,245,68.0,16.0,48076.0,B,0.924805658447968,2,60.0,110.7,3.25,DEAD,38.5,True,78.0,HIGH,유통기한 임박 | 소진일수 111일 초과 | 신선/냉장 고위험 카테고리,1.9,8.7,0.0,SAFE,"재고 여유 — 현재고(251), 재주문점(9)",0.0,182.6,80.8,45180.0,36.4,OPTIMAL,"적정 발주 — EOQ(183개), 권장 발주 주기 81일",36.4,15.9,2.27,3.2,1.34,STABLE,110.5,0.0,WMA,0.0,36.9,10.0,8.4,6.0,7.5,5.0,POOR,낮은 매칭 · 폐기위험 높음,1.011,50.3,STABLE,21.6,LOW,73.1,HIGH,36.5,46.9,72.2,0.3,30.0,31648.0,63.3,0.385,0.385,88.5,True,13.5,218,42.4,82,100.0,0.999,4.9,40.4,50.0,REALLOCATE,100.0,2,99.8,55.5,37.2,disposal_risk,66.5,검토 필요,38,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (91%)', '❄️ 냉장·냉동 과잉 (80%)', '💸 배송비 상승 (100%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '24.9%', '판매가능성': '13.1%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.7%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,57.8,32.8,54.1,58.5,50.0,63.8,52.3,51.9,0.0,38.5,검토,할인 판매,🏷️,320,HIGH,신뢰도 높음 ●,#2e7d32,,,38.5,검토,할인 판매,5,5,True,False,,50.0,14136.0,0.0,14136.0,14.04,0.0,14.04,28.0,0.0,251.0,48.0,할인,재고 이동,72.215,다름,72.215,67.393,30.914,16.519
과일컵041,역삼점,용산2점,48.0,프로모션 추천,9075.0,프로모션 순비용이 재배치 비용보다 낮습니다.,29.357870007830854,19.82758620689655,12,8,69.2,검토 가능,9075.0,48.0,2,False,Greedy 선택 후보보다 우선순위가 낮음,8.6,707,317,0,신선식품,305,258.0,60.0,182406.0,B,0.924805658447968,2,60.0,36.9,9.77,NORMAL,79.5,False,53.4,MEDIUM,유통기한 임박 | 신선/냉장 고위험 카테고리,7.4,33.2,0.0,SAFE,"재고 여유 — 현재고(317), 재주문점(33)",0.0,356.2,41.4,88133.0,10.5,OPTIMAL,"적정 발주 — EOQ(356개), 권장 발주 주기 41일",10.5,60.1,8.59,12.13,5.04,STABLE,36.9,3.1,WMA,3.1,32.2,10.0,3.75,6.0,7.5,5.0,POOR,낮은 매칭,0.997,49.9,STABLE,7.2,LOW,78.3,HIGH,36.5,46.9,72.2,0.3,30.0,31648.0,63.3,0.385,0.385,88.5,True,33.6,27,28.4,386,100.0,0.999,4.9,40.4,50.0,REALLOCATE,99.9,2,99.8,55.5,36.9,turnover,66.2,검토 필요,40,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (91%)', '❄️ 냉장·냉동 과잉 (80%)', '💸 배송비 상승 (100%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '24.9%', '판매가능성': '13.1%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.7%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,57.6,34.2,49.2,54.6,50.0,63.8,63.4,50.7,0.0,27.2,검토,보류,⏸️,381,HIGH,신뢰도 높음 ●,#2e7d32,,,27.2,검토,보류,1,5,False,False,,50.0,15495.0,0.0,15495.0,15.55,0.0,15.55,31.0,0.0,317.0,48.0,할인,재고 이동,70.955,다름,70.955,62.492,28.944,17.637
과일컵041,목동2점,용산2점,48.0,프로모션 추천,9075.0,프로모션 순비용이 재배치 비용보다 낮습니다.,29.357870007830854,19.82758620689655,12,8,69.2,검토 가능,9075.0,48.0,3,False,Greedy 선택 후보보다 우선순위가 낮음,7.77,707,255,2,신선식품,234,233.0,54.0,164731.0,B,0.924805658447968,2,60.0,32.8,10.96,NORMAL,81.8,False,49.4,MEDIUM,유통기한 임박 | 신선/냉장 고위험 카테고리,6.7,30.0,0.0,SAFE,"재고 여유 — 현재고(255), 재주문점(30)",0.0,338.5,43.6,83772.0,21.3,OPTIMAL,"적정 발주 — EOQ(338개), 권장 발주 주기 44일",21.3,54.2,7.74,10.95,4.54,STABLE,32.9,3.6,WMA,3.6,32.3,10.0,3.78,6.0,7.5,5.0,POOR,낮은 매칭,0.993,49.8,STABLE,6.6,LOW,73.1,HIGH,36.5,46.9,72.2,0.3,30.0,31648.0,63.3,0.385,0.385,88.5,True,38.5,18,26.7,413,100.0,0.999,4.9,40.4,50.0,REALLOCATE,99.7,2,99.8,55.5,36.6,turnover,66.7,검토 필요,35,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (91%)', '❄️ 냉장·냉동 과잉 (80%)', '💸 배송비 상승 (100%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '24.9%', '판매가능성': '13.1%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.7%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,56.4,34.4,48.9,56.3,50.0,63.8,66.1,50.7,0.0,27.0,검토,보류,⏸️,382,HIGH,신뢰도 높음 ●,#2e7d32,,,27.0,검토,보류,4,5,False,False,,50.0,17637.0,0.0,17637.0,17.93,0.0,17.93,36.0,0.0,255.0,48.0,할인,재고 이동,66.801,다름,66.801,61.595,28.45,18.0
냉동치킨024,선릉점,압구정점,49.0,프로모션 추천,9587.0,프로모션 순비용이 재배치 비용보다 낮습니다.,28.68963717045158,20.25862068965517,12,8,68.9,검토 가능,9587.0,49.0,4,False,Greedy 선택 후보보다 우선순위가 낮음,3.08,729,356,10,냉동식품,313,92.0,22.0,67068.0,C,1.0,3,20.0,116.1,3.1,DEAD,35.5,True,49.7,MEDIUM,소진일수 116일 초과 | 신선/냉장 고위험 카테고리,2.6,11.8,0.0,SAFE,"재고 여유 — 현재고(356), 재주문점(12)",0.0,226.7,73.6,49585.0,55.9,OVER,과잉 발주 위험 — 현재(353개) > EOQ(227개). 발주 주기 74일 권장,55.9,21.8,3.11,4.38,1.84,STABLE,114.3,0.0,WMA,0.0,29.1,10.0,3.6,3.0,7.5,5.0,POOR,낮은 매칭,1.02,50.5,STABLE,22.5,LOW,45.1,MEDIUM,36.8,53.2,90.7,0.3,30.0,33278.0,66.6,0.385,0.385,88.5,True,7.0,484,29.8,352,100.0,0.999,4.9,52.6,50.0,REALLOCATE,99.6,2,99.8,57.1,49.5,disposal_risk,50.5,모니터링,336,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (91%)', '❄️ 냉장·냉동 과잉 (80%)', '💸 배송비 상승 (100%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '24.9%', '판매가능성': '13.1%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.7%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,38.3,32.8,49.3,61.3,52.0,78.2,48.8,49.1,0.0,20.1,검토,보류,⏸️,419,HIGH,신뢰도 높음 ●,#2e7d32,,,20.1,검토,보류,3,0,False,False,,50.0,14037.0,0.0,14037.0,13.93,0.0,13.93,28.0,0.0,356.0,49.0,할인,재고 이동,71.048,다름,71.048,66.952,30.636,14.454
마카롱053,홍대2점,왕십리2점,60.0,재배치 추천,11886.0,프로모션 순비용이 재배치 비용보다 높습니다.,25.689115113547377,25.0,18,0,68.7,검토 가능,11886.0,60.0,5,False,Greedy 선택 후보보다 우선순위가 낮음,1.44,3122,330,2,디저트,326,43.0,10.0,134246.0,A,0.2370369123281216,1,100.0,230.2,1.56,DEAD,0.0,True,68.0,HIGH,유통기한 임박 | 소진일수 230일 초과,1.2,5.5,0.0,SAFE,"재고 여유 — 현재고(330), 재주문점(6)",0.0,82.1,57.0,64049.0,100.0,OVER,과잉 발주 위험 — 현재(329개) > EOQ(82개). 발주 주기 57일 권장,100.0,10.0,1.43,2.02,0.83,STABLE,231.0,0.0,WMA,0.0,40.9,10.0,8.4,10.0,7.5,5.0,FAIR,보통 매칭 · 폐기위험 높음 · 핵심(A)상품,0.992,49.8,STABLE,35.2,LOW,73.1,HIGH,35.3,64.5,83.5,0.3,30.0,212898.0,100.0,0.385,0.385,88.5,False,11.7,368,42.6,74,100.0,0.999,4.9,48.5,50.0,REALLOCATE,99.5,2,99.8,73.7,18.3,disposal_risk,69.9,검토 필요,10,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (91%)', '❄️ 냉장·냉동 과잉 (80%)', '💸 배송비 상승 (100%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '24.9%', '판매가능성': '13.1%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.7%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,49.1,32.6,56.8,67.8,72.0,77.2,51.3,56.6,0.0,89.1,최적,할인 판매,🏷️,49,HIGH,신뢰도 높음 ●,#2e7d32,,,89.1,최적,할인 판매,3,6,False,False,,50.0,11886.0,0.0,11886.0,11.54,0.0,11.54,23.0,0.0,330.0,60.0,재고 이동,재고 이동,85.404,일치,85.404,66.899,32.449,14.404
라면055,종로2점,건대점,0.0,다중 경로 추천,10660.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,27.289219524928217,10.0,18,12,67.3,검토 가능,10660.0,,6,False,Greedy 선택 후보보다 우선순위가 낮음,5.01,1393,365,5,간편식,330,150.0,35.0,208950.0,A,0.6891881063563887,1,100.0,73.0,4.93,SLOW,59.4,True,56.5,MEDIUM,유통기한 임박 | 소진일수 73일 초과,4.3,19.3,0.0,SAFE,"재고 여유 — 현재고(365), 재주문점(19)",0.0,244.3,48.8,74860.0,47.6,OPTIMAL,"적정 발주 — EOQ(244개), 권장 발주 주기 49일",47.6,35.0,5.0,7.07,2.93,STABLE,73.0,0.0,WMA,0.0,36.1,10.0,3.6,10.0,7.5,5.0,POOR,낮은 매칭 · 핵심(A)상품,0.998,50.0,STABLE,14.2,LOW,62.6,MEDIUM,32.8,46.6,67.1,0.3,30.0,39488.0,79.0,0.385,0.385,88.5,False,8.9,462,31.7,309,100.0,0.999,4.9,35.9,50.0,REALLOCATE,99.3,2,99.8,63.0,27.0,disposal_risk,70.6,우선 처리,4,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (91%)', '❄️ 냉장·냉동 과잉 (80%)', '💸 배송비 상승 (100%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '24.9%', '판매가능성': '13.1%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.7%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,59.7,32.7,51.2,59.2,59.4,60.3,49.8,52.9,0.0,51.0,검토,보류,⏸️,253,HIGH,신뢰도 높음 ●,#2e7d32,,,51.0,검토,보류,7,3,False,False,,50.0,14280.0,0.0,14280.0,14.2,0.0,14.2,28.0,0.0,365.0,23.0,재고 이동,재고 이동,64.258,일치,64.258,53.07,25.315,17.357
과일컵041,목동2점,역삼점,37.0,프로모션 추천,6995.0,프로모션 순비용이 재배치 비용보다 낮습니다.,32.07256590968416,15.086206896551724,12,8,67.2,검토 가능,6995.0,37.0,7,False,Greedy 선택 후보보다 우선순위가 낮음,7.77,707,255,2,신선식품,234,233.0,54.0,164731.0,B,0.924805658447968,2,60.0,32.8,10.96,NORMAL,81.8,False,49.4,MEDIUM,유통기한 임박 | 신선/냉장 고위험 카테고리,6.7,30.0,0.0,SAFE,"재고 여유 — 현재고(255), 재주문점(30)",0.0,338.5,43.6,83772.0,21.3,OPTIMAL,"적정 발주 — EOQ(338개), 권장 발주 주기 44일",21.3,54.2,7.74,10.95,4.54,STABLE,32.9,3.6,WMA,3.6,32.3,10.0,3.78,6.0,7.5,5.0,POOR,낮은 매칭,0.993,49.8,STABLE,6.6,LOW,73.1,HIGH,40.1,75.5,74.5,0.3,30.0,24396.0,48.8,0.385,0.385,88.5,True,38.5,18,26.6,417,100.0,0.999,4.9,42.2,50.0,REALLOCATE,99.2,2,99.8,47.8,37.1,turnover,65.0,검토 필요,55,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (91%)', '❄️ 냉장·냉동 과잉 (80%)', '💸 배송비 상승 (100%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '24.9%', '판매가능성': '13.1%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.7%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,56.4,34.4,49.1,55.2,41.3,74.8,66.1,50.7,0.0,28.3,검토,보류,⏸️,375,HIGH,신뢰도 높음 ●,#2e7d32,,,28.3,검토,보류,4,1,False,False,,50.0,18771.0,0.0,18771.0,19.19,0.0,19.19,38.0,0.0,255.0,37.0,할인,재고 이동,62.044,다름,62.044,60.963,27.657,18.217
라면086,역삼2점,신촌2점,0.0,다중 경로 추천,11240.0,다중 연결 경로가 기존 직접/DC 경유 방식보다 비용이 낮습니다.,26.53223701383451,10.0,18,12,66.5,검토 가능,11240.0,,8,False,Greedy 선택 후보보다 우선순위가 낮음,7.92,3405,349,3,간편식,316,238.0,55.0,810390.0,A,0.04778947291941071,1,100.0,44.0,8.18,NORMAL,75.6,False,50.0,MEDIUM,유통기한 임박,6.8,30.6,0.0,SAFE,"재고 여유 — 현재고(349), 재주문점(31)",0.0,196.4,24.8,147156.0,74.2,OVER,과잉 발주 위험 — 현재(342개) > EOQ(196개). 발주 주기 25일 권장,74.2,55.2,7.89,11.15,4.62,STABLE,44.3,2.1,WMA,2.1,36.2,10.0,3.7,10.0,7.5,5.0,POOR,낮은 매칭 · 핵심(A)상품,0.992,49.8,STABLE,8.8,LOW,69.6,MEDIUM,38.3,43.2,61.1,0.3,30.0,111340.0,100.0,0.385,0.385,88.5,False,23.4,59,28.0,393,100.0,0.999,4.9,29.5,50.0,REALLOCATE,99.1,2,99.8,73.3,25.4,turnover,74.4,우선 처리,1,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (91%)', '❄️ 냉장·냉동 과잉 (80%)', '💸 배송비 상승 (100%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '24.9%', '판매가능성': '13.1%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.7%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,61.1,33.7,49.8,62.7,72.0,55.1,57.8,55.0,0.0,72.5,권장,보류,⏸️,138,HIGH,신뢰도 높음 ●,#2e7d32,,,72.5,권장,보류,2,3,False,False,,50.0,15603.0,0.0,15603.0,15.67,0.0,15.67,31.0,0.0,349.0,27.0,재고 이동,재고 이동,63.774,일치,63.774,50.709,24.886,17.655
아이스크림105,목동점,선릉2점,47.0,프로모션 추천,11043.0,프로모션 순비용이 재배치 비용보다 낮습니다.,26.789350039154268,19.396551724137932,12,8,66.2,검토 가능,11043.0,47.0,9,False,Greedy 선택 후보보다 우선순위가 낮음,0.79,860,308,2,디저트,306,24.0,6.0,20640.0,B,0.9366747014475232,2,60.0,385.0,0.94,DEAD,0.0,True,68.0,HIGH,유통기한 임박 | 소진일수 385일 초과,0.7,3.1,0.0,SAFE,"재고 여유 — 현재고(308), 재주문점(3)",0.0,115.8,146.6,24899.0,100.0,OVER,과잉 발주 위험 — 현재(307개) > EOQ(116개). 발주 주기 147일 권장,100.0,5.8,0.83,1.15,0.5,STABLE,371.7,0.0,WMA,0.0,36.9,10.0,8.4,6.0,7.5,5.0,POOR,낮은 매칭 · 폐기위험 높음,1.085,52.1,STABLE,35.0,LOW,73.1,HIGH,32.5,74.2,100.0,0.3,30.0,37461.0,74.9,0.385,0.385,88.5,False,11.5,389,41.6,109,100.0,0.999,4.9,57.0,50.0,REALLOCATE,98.9,2,99.8,60.7,35.0,disposal_risk,59.4,검토 필요,133,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (91%)', '❄️ 냉장·냉동 과잉 (80%)', '💸 배송비 상승 (100%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '24.9%', '판매가능성': '13.1%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.7%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,43.1,33.3,55.6,66.4,56.9,91.4,51.2,54.5,0.0,65.9,권장,할인 판매,🏷️,173,HIGH,신뢰도 높음 ●,#2e7d32,,,65.9,권장,할인 판매,2,6,False,False,,50.0,20112.0,0.0,20112.0,20.68,0.0,20.68,41.0,0.0,308.0,47.0,할인,할인,71.326,일치,67.764,71.326,32.382,15.06
아이스크림105,선릉점,선릉2점,47.0,프로모션 추천,11043.0,프로모션 순비용이 재배치 비용보다 낮습니다.,26.789350039154268,19.396551724137932,12,8,66.2,검토 가능,11043.0,47.0,10,False,Greedy 선택 후보보다 우선순위가 낮음,5.97,860,397,3,디저트,372,179.0,42.0,153940.0,B,0.9366747014475232,2,60.0,66.5,5.41,SLOW,63.1,True,56.3,MEDIUM,유통기한 임박 | 소진일수 66일 초과,5.1,23.0,0.0,SAFE,"재고 여유 — 현재고(397), 재주문점(23)",0.0,318.4,53.3,68447.0,23.1,OPTIMAL,"적정 발주 — EOQ(318개), 권장 발주 주기 53일",23.1,41.9,5.99,8.45,3.52,STABLE,66.3,0.0,WMA,0.0,32.1,10.0,3.6,6.0,7.5,5.0,POOR,낮은 매칭,1.005,50.1,STABLE,12.9,LOW,69.6,MEDIUM,32.5,74.2,100.0,0.3,30.0,37461.0,74.9,0.385,0.385,88.5,False,8.7,467,30.5,331,100.0,0.999,4.9,57.0,50.0,REALLOCATE,98.8,2,99.8,60.7,41.4,disposal_risk,60.1,검토 필요,115,HEURISTIC 29% | ABC 14% | TURNOVER 14% | DISPOSAL_RISK 14% | SAFETY_STOCK 8% | EOQ 7% | DEMAND_FORECAST 7% | MATCH 5%,"['⏰ 유통기한 임박 (91%)', '❄️ 냉장·냉동 과잉 (80%)', '💸 배송비 상승 (100%)', '⚡ 복합 스트레스 (60%)']","{'재고위험': '24.9%', '판매가능성': '13.1%', '점포이동적합': '14.0%', '비용절감': '18.3%', '폐기회피이익': '13.7%', '실행가능성': '12.8%', '이력보정': '3.3%'}",True,True,False,True,False,True,54.6,32.7,51.2,54.9,56.9,91.4,49.7,54.6,0.0,67.1,권장,보류,⏸️,167,HIGH,신뢰도 높음 ●,#2e7d32,,,67.1,권장,보류,3,6,False,False,,50.0,20319.0,0.0,20319.0,20.91,0.0,20.91,42.0,0.0,397.0,47.0,할인,재고 이동,67.538,다름,67.538,66.928,30.312,17.504
