sample_no,scenario_name,learning_rate,episodes,candidate_count,final_loss,mean_reward,match_rate,trained_at,model_file,summary_file,recommendations_file
sample01,,0.01,500,500,20.781684,,73.2,20260523_205147,dqn_artifacts\dqn_sample01_default_lr0100_500x500_model.npz,dqn_artifacts\dqn_sample01_default_lr0100_500x500_summary.json,dqn_artifacts\dqn_sample01_default_lr0100_500x500_recommendations.csv
sample03,,0.01,500,500,20.781684,,73.2,20260523_205212,dqn_artifacts\dqn_sample03_default_lr0100_500x500_model.npz,dqn_artifacts\dqn_sample03_default_lr0100_500x500_summary.json,dqn_artifacts\dqn_sample03_default_lr0100_500x500_recommendations.csv
sample09,expiry,0.01,500,500,5.827077,,99.2,20260523_205702,dqn_artifacts\dqn_sample09_expiry_lr0100_500x500_model.npz,dqn_artifacts\dqn_sample09_expiry_lr0100_500x500_summary.json,dqn_artifacts\dqn_sample09_expiry_lr0100_500x500_recommendations.csv
sample09,expiry,0.005,500,500,10.897734,,99.2,20260523_205726,dqn_artifacts\dqn_sample09_expiry_lr0050_500x500_model.npz,dqn_artifacts\dqn_sample09_expiry_lr0050_500x500_summary.json,dqn_artifacts\dqn_sample09_expiry_lr0050_500x500_recommendations.csv
sample09,expiry,0.003,500,500,24.858029,,99.2,20260523_205747,dqn_artifacts\dqn_sample09_expiry_lr0030_500x500_model.npz,dqn_artifacts\dqn_sample09_expiry_lr0030_500x500_summary.json,dqn_artifacts\dqn_sample09_expiry_lr0030_500x500_recommendations.csv
sample09,expiry,0.02,500,500,52.277115,,99.2,20260523_205808,dqn_artifacts\dqn_sample09_expiry_lr0200_500x500_model.npz,dqn_artifacts\dqn_sample09_expiry_lr0200_500x500_summary.json,dqn_artifacts\dqn_sample09_expiry_lr0200_500x500_recommendations.csv
sample10,cold_chain,0.01,500,500,5.827077,,99.2,20260523_205945,dqn_artifacts\dqn_sample10_cold_chain_lr0100_500x500_model.npz,dqn_artifacts\dqn_sample10_cold_chain_lr0100_500x500_summary.json,dqn_artifacts\dqn_sample10_cold_chain_lr0100_500x500_recommendations.csv
sample10,cold_chain,0.005,500,500,10.897734,,99.2,20260523_210003,dqn_artifacts\dqn_sample10_cold_chain_lr0050_500x500_model.npz,dqn_artifacts\dqn_sample10_cold_chain_lr0050_500x500_summary.json,dqn_artifacts\dqn_sample10_cold_chain_lr0050_500x500_recommendations.csv
sample10,cold_chain,0.003,500,500,24.858029,,99.2,20260523_210025,dqn_artifacts\dqn_sample10_cold_chain_lr0030_500x500_model.npz,dqn_artifacts\dqn_sample10_cold_chain_lr0030_500x500_summary.json,dqn_artifacts\dqn_sample10_cold_chain_lr0030_500x500_recommendations.csv
sample10,cold_chain,0.02,500,500,52.277115,,99.2,20260523_210047,dqn_artifacts\dqn_sample10_cold_chain_lr0200_500x500_model.npz,dqn_artifacts\dqn_sample10_cold_chain_lr0200_500x500_summary.json,dqn_artifacts\dqn_sample10_cold_chain_lr0200_500x500_recommendations.csv
sample11,demand_surge,0.01,500,500,5.827077,,99.2,20260523_210149,dqn_artifacts\dqn_sample11_demand_surge_lr0100_500x500_model.npz,dqn_artifacts\dqn_sample11_demand_surge_lr0100_500x500_summary.json,dqn_artifacts\dqn_sample11_demand_surge_lr0100_500x500_recommendations.csv
