product_name,source_store,target_store,state_source_stock,state_target_stock,state_source_sales_30d,state_target_sales_30d,state_inbound_days,state_unit_cost,state_distance_km,state_transfer_cost,state_promotion_net_cost,suggested_qty,estimated_cost,final_recommendation,heuristic_score,heuristic_grade,greedy_rank,is_greedy_selected,action,reward_disposal_saving,reward_holding_saving,reward_sales_opportunity,reward_balance_effect,reward_transport_penalty,reward_promotion_penalty,reward_time_penalty,reward,scenario_id,scenario_name,created_at,uploaded_excel_name
고메 치즈함박스테이크,명동점,홍대2점,272.0,222.0,174.0,474.0,0.0,4040.0,8.14,8826.0,194714.0,243.0,8826.0,재배치 추천,77.4,우선 추천,38,False,transfer,115098.207,1979.6,98172.0,0.547,0.883,19.471,0.0,215230.0,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 닭가슴살샌드위치,신림점,강남2점,272.0,212.0,354.0,474.0,0.0,2710.0,12.5,12750.0,138417.0,260.0,12750.0,재배치 추천,77.0,우선 추천,39,False,transfer,40604.068,0.0,70460.0,0.161,1.275,13.842,0.0,111049.112,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 불고기피자,명동점,홍대4점,275.0,235.0,165.0,465.0,0.0,2260.0,6.74,7566.0,102840.0,230.0,7566.0,재배치 추천,76.7,우선 추천,40,False,transfer,64975.0,1243.0,51980.0,0.581,0.757,10.284,0.0,118187.54,d51f2a3d,expiry,2026-05-25 04:49:50,
혜자로운 햄구이도시락,신촌점,종로점,259.0,219.0,393.0,453.0,0.0,3650.0,7.16,7944.0,167964.0,232.0,7944.0,재배치 추천,76.7,우선 추천,41,False,transfer,41855.191,0.0,84680.0,0.088,0.794,16.796,0.0,126517.688,d51f2a3d,expiry,2026-05-25 04:49:50,
롯데 카스타드,신촌2점,용산점,265.0,245.0,105.0,465.0,0.0,1650.0,5.45,6405.0,70576.0,220.0,6405.0,재배치 추천,76.3,우선 추천,43,False,transfer,54450.0,1320.0,36300.0,0.998,0.64,7.058,0.0,92063.3,d51f2a3d,expiry,2026-05-25 04:49:50,
롯데 카스타드,종로점,용산점,275.0,245.0,225.0,465.0,0.0,1650.0,7.08,7872.0,68973.0,220.0,7872.0,재배치 추천,75.4,우선 추천,44,False,transfer,33275.0,412.5,36300.0,0.348,0.787,6.897,0.0,69980.163,d51f2a3d,expiry,2026-05-25 04:49:50,
롯데 카스타드,방배점,용산점,275.0,245.0,285.0,465.0,0.0,1650.0,8.14,8826.0,70482.0,220.0,8826.0,재배치 추천,74.9,우선 추천,45,False,transfer,26269.737,0.0,36300.0,0.219,0.883,7.048,0.0,62562.025,d51f2a3d,expiry,2026-05-25 04:49:50,
혜자로운 햄구이도시락,마포점,종로점,279.0,219.0,393.0,453.0,0.0,3650.0,11.18,11562.0,168886.0,234.0,11562.0,재배치 추천,74.9,우선 추천,46,False,transfer,45475.935,0.0,85410.0,0.113,1.156,16.889,0.0,130868.004,d51f2a3d,expiry,2026-05-25 04:49:50,
오뚜기 진라면컵,성수점,이태원점,277.0,217.0,309.0,429.0,0.0,2630.0,7.22,7998.0,109763.0,212.0,7998.0,재배치 추천,74.5,우선 추천,47,False,transfer,37486.437,0.0,55756.0,0.195,0.8,10.976,0.0,93230.856,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 닭가슴살샌드위치,여의도2점,강남2점,272.0,212.0,414.0,474.0,0.0,2710.0,14.12,14208.0,129221.0,244.0,14208.0,재배치 추천,74.5,우선 추천,48,False,transfer,32582.841,0.0,66124.0,0.105,1.421,12.922,0.0,98692.603,d51f2a3d,expiry,2026-05-25 04:49:50,
고메 치즈함박스테이크,홍대점,홍대2점,272.0,222.0,114.0,474.0,0.0,4040.0,0.0,15789.0,201411.0,252.0,15789.0,재배치 추천,74.4,우선 추천,49,False,transfer,152712.0,3191.6,101808.0,0.959,1.579,20.141,0.0,257690.839,d51f2a3d,expiry,2026-05-25 04:49:50,
유어스 국물떡볶이,역삼점,압구정점,279.0,199.0,333.0,393.0,0.0,3110.0,4.46,5514.0,118710.0,194.0,5514.0,재배치 추천,74.0,우선 추천,50,False,transfer,37912.581,0.0,60334.0,0.166,0.551,11.871,0.0,98234.324,d51f2a3d,expiry,2026-05-25 04:49:50,
해태 홈런볼,구로점,합정점,256.0,246.0,222.0,462.0,0.0,2500.0,9.06,9654.0,104423.0,216.0,9654.0,재배치 추천,74.0,우선 추천,51,False,transfer,46702.703,425.0,54000.0,0.31,0.965,10.442,0.0,101116.605,d51f2a3d,expiry,2026-05-25 04:49:50,
오뚜기 진라면컵,사당점,이태원점,277.0,217.0,369.0,429.0,0.0,2630.0,8.51,9159.0,109321.0,212.0,9159.0,재배치 추천,73.8,우선 추천,52,False,transfer,31391.081,0.0,55756.0,0.122,0.916,10.932,0.0,87135.356,d51f2a3d,expiry,2026-05-25 04:49:50,
게토레이 레몬,잠실점,강남점,261.0,231.0,207.0,447.0,0.0,1190.0,9.55,10095.0,48476.0,216.0,10095.0,재배치 추천,73.8,우선 추천,53,False,transfer,24307.043,321.3,25704.0,0.372,1.01,4.848,0.0,50326.858,d51f2a3d,expiry,2026-05-25 04:49:50,
게토레이 레몬,신촌2점,용산점,271.0,251.0,87.0,447.0,0.0,1190.0,5.45,6405.0,44662.0,196.0,6405.0,재배치 추천,73.7,우선 추천,54,False,transfer,34986.0,1094.8,23324.0,1.277,0.64,4.466,0.0,59400.97,d51f2a3d,expiry,2026-05-25 04:49:50,
